Record Indicator,Order Number,Transaction Time,Buy/Sell Indicator,Activity Type,Volume Disclosed,Volume Original,Limit Price,Trigger Price,Market Order Flag,Stop Loss Flag,IO Flag
PO,64283860B17BB8148C5D8CBA2DFCF661,2021-01-20 09:00:00.867279104,B,1,0,100,2705,0,N,N,N
PO,013F063A4EA3CACBF44F6B5B8020E95A,2021-01-20 09:00:00.867294208,B,1,0,100,2800,0,N,N,N
PO,1C4C1232C5083C09AADE7C476285D1B8,2021-01-20 09:00:00.867294208,B,1,0,100,2900,0,N,N,N
PO,D4AB3235D48C457436C0B3388F0A9965,2021-01-20 09:00:00.867340032,S,1,0,50,3300,0,N,N,N
PO,EB50DAA07E750D983C7F74EAC198CB76,2021-01-20 09:00:02.162719744,B,1,0,700,2705,0,N,N,N
PO,982C09DD024FA096AD1988D9BD038B8E,2021-01-20 09:00:14.744659456,B,1,0,1,2940,0,N,N,N
PO,1B2A7FFF3AA254B56D122777A076217A,2021-01-20 09:00:40.465576192,B,1,0,500,2710,0,N,N,N
PO,68687CBDB150277FAD17574A63DCDBAE,2021-01-20 09:00:40.469085696,B,1,0,500,2810,0,N,N,N
PO,7540A2604005AF5C553898FC69F5A613,2021-01-20 09:00:47.135864320,S,1,0,88,3085,0,N,N,N
PO,1AEED51C2B790D9BF0024ED0EA42BBC3,2021-01-20 09:00:50.536468480,B,1,0,200,2905,0,N,N,N
PO,6B64FC520A5E72510A3DEEE713190E33,2021-01-20 09:01:15.340072704,B,1,0,50,2870,0,N,N,N
PO,8651D3A7071C8004FD65030562A054FF,2021-01-20 09:01:36.228607232,B,1,0,100,2910,0,N,N,N
PO,AABC5A8C48AAC13EDD5506F26D740A99,2021-01-20 09:01:44.533233664,B,1,0,1000,2820,0,N,N,N
PO,FE7934B3C04804538BE9FAE5721E7FC3,2021-01-20 09:01:45.368576000,B,1,0,1,2900,0,N,N,N
PO,D4A646FA0A18597A5200FE77A3F80F43,2021-01-20 09:02:00.719055104,S,1,0,200,3185,0,N,N,N
PO,09CEFC14D79D9CCBB69685509CA349F8,2021-01-20 09:02:11.123779328,S,1,0,2363,3300,0,N,N,N
PO,BE8AD0A85F5837CBE30D3917E2E89DE5,2021-01-20 09:02:25.061248768,B,1,0,300,2915,0,N,N,N
PO,FAF20B814C2B9C17D0776736AB746F12,2021-01-20 09:02:35.956542976,B,1,0,100,2970,0,N,N,N
PO,C8FC1973B88E9C4CA0C5BC6AEC33365F,2021-01-20 09:02:39.330200320,S,1,0,25,3295,0,N,N,N
PO,1F58EEABF7995E9B424FBF4063FF51BF,2021-01-20 09:03:31.865325824,B,1,0,200,2975,0,N,N,N
PO,1F58EEABF7995E9B424FBF4063FF51BF,2021-01-20 09:03:46.046188288,B,4,0,300,2975,0,N,N,N
PO,1F515BB0F77094C30840888ECA53BB7F,2021-01-20 09:04:30.039977984,S,1,0,70,3300,0,N,N,N
PO,5296BEA205CEA4358192B82C42AB1BF2,2021-01-20 09:05:50.504104704,S,1,0,250,3180,0,N,N,N
PO,D43F33CD235394D2C1BF83F1D5E2172C,2021-01-20 09:06:05.674118144,S,1,0,1000,3190,0,N,N,N
RM,C6EAD643A0D63795BD09A1B04ADEFD96,2021-01-20 09:15:00.063476480,B,1,0,500,3000,0,N,N,N
RM,118C288F03249C7925F695CF2D7F1235,2021-01-20 09:15:04.650070272,B,1,88,88,2985,0,N,N,N
RM,DD2DD9CD751AF49EC5E3567F6B4355DC,2021-01-20 09:15:07.650085376,B,1,98,98,2945,0,N,N,N
RM,7DC2DF6FD02C6FF018E2FBA16ED294E6,2021-01-20 09:15:09.150070272,S,1,97,97,3155,0,N,N,N
RM,1F58EEABF7995E9B424FBF4063FF51BF,2021-01-20 09:15:17.816101120,B,4,0,300,3005,0,N,N,N
RM,506ABEBB797C673FDBEB17BE0F798730,2021-01-20 09:15:19.158737152,S,1,0,5036,3300,0,N,N,N
RM,40F69627952EC0EA68D88EC5985AD6F9,2021-01-20 09:15:19.158798336,B,1,10,10,3010,0,N,N,N
RM,DACD69C501EC6823BB7B1211964620B4,2021-01-20 09:15:19.158813440,S,1,10,10,3150,0,N,N,N
RM,3BA90CD22423962D7160ED7101C1BAC8,2021-01-20 09:15:23.859024128,S,1,0,25,3000,0,N,N,N
RM,506ABEBB797C673FDBEB17BE0F798730,2021-01-20 09:15:36.025238016,S,4,1000,5036,3300,0,N,N,N
RM,3ECAC6A820938AC61DBE6BE09875F8DD,2021-01-20 09:15:44.456878592,B,1,0,500,2710,0,N,N,N
RM,686DE3F21AB420A34191CE602E9D96AF,2021-01-20 09:16:17.400100608,B,1,64,64,3010,0,N,N,N
RM,C76B837CBD5B7591680C9C6B253C820E,2021-01-20 09:16:55.650146560,S,1,103,103,3115,0,N,N,N
RM,DACD69C501EC6823BB7B1211964620B4,2021-01-20 09:16:55.650421248,S,4,10,10,3110,0,N,N,N
RM,01C84F5CF1627ED2C42ACC6E2DDAE2E0,2021-01-20 09:17:21.687759360,B,1,0,1,2950,0,N,N,N
RM,B1399099A150CCB815E5EC8A2D41C705,2021-01-20 09:17:39.752731392,B,1,0,1,2950,0,N,N,N
RM,1AF46883198681E40541A721C9ABE307,2021-01-20 09:18:04.669341952,S,1,0,1000,3160,0,N,N,N
RM,DACD69C501EC6823BB7B1211964620B4,2021-01-20 09:18:04.669418240,S,4,10,10,3080,0,N,N,N
RM,33BCCE40E20C012EAD5ADE1D6B1697DA,2021-01-20 09:18:05.638427648,S,1,0,400,3110,0,N,N,N
RM,E076CCDE2AC1B8580D60A1B392445274,2021-01-20 09:18:08.400100608,S,1,101,101,3095,0,N,N,N
RM,1C409F04FAAD9287C4C0727985AD00D0,2021-01-20 09:18:08.400115968,B,1,101,101,2945,0,N,N,N
RM,402AF0763230E421512ED9A16EEC9FDF,2021-01-20 09:18:08.400131328,S,1,101,101,3135,0,N,N,N
RM,AABC5A8C48AAC13EDD5506F26D740A99,2021-01-20 09:18:35.118133504,B,4,0,500,2820,0,N,N,N
RM,B7CAF5FA0124196676B7BFFB1B9DCCBD,2021-01-20 09:18:37.643478272,B,1,0,47,3110,0,N,N,N
RM,8253C8A980682D7E67CD2CC8CF680E31,2021-01-20 09:18:37.643600384,B,1,10,10,3015,0,N,N,N
RM,8A6E69B6F2C1EF5528B723181A1871F0,2021-01-20 09:18:37.643600384,S,1,10,10,3080,0,N,N,N
RM,686DE3F21AB420A34191CE602E9D96AF,2021-01-20 09:18:38.400070144,B,4,65,65,3020,0,N,N,N
RM,8253C8A980682D7E67CD2CC8CF680E31,2021-01-20 09:18:38.400146432,B,4,10,10,3025,0,N,N,N
RM,686DE3F21AB420A34191CE602E9D96AF,2021-01-20 09:18:38.400222720,B,3,65,65,3020,0,N,N,N
RM,8253C8A980682D7E67CD2CC8CF680E31,2021-01-20 09:18:38.400299008,B,4,10,10,3010,0,N,N,N
RM,0419B0453BA089D614B2585ED844F35B,2021-01-20 09:18:39.317489664,B,1,0,15,3085,0,N,N,N
RM,C66A1EC99A4A90455F850EF362F4075B,2021-01-20 09:18:48.900115968,B,1,64,64,3015,0,N,N,N
RM,8253C8A980682D7E67CD2CC8CF680E31,2021-01-20 09:18:48.900360192,B,4,10,10,3020,0,N,N,N
RM,C66A1EC99A4A90455F850EF362F4075B,2021-01-20 09:18:48.900527872,B,3,64,64,3015,0,N,N,N
RM,8253C8A980682D7E67CD2CC8CF680E31,2021-01-20 09:18:48.900604160,B,4,10,10,3010,0,N,N,N
RM,FA83D73352F868CC42BB9C225F74E1C1,2021-01-20 09:18:54.150131200,B,1,70,70,3015,0,N,N,N
RM,8253C8A980682D7E67CD2CC8CF680E31,2021-01-20 09:18:54.150207488,B,4,10,10,3020,0,N,N,N
RM,FA83D73352F868CC42BB9C225F74E1C1,2021-01-20 09:18:54.151245056,B,3,70,70,3015,0,N,N,N
RM,8253C8A980682D7E67CD2CC8CF680E31,2021-01-20 09:18:54.151321344,B,4,10,10,3010,0,N,N,N
RM,37EFBD54A3565002CD039A710F7F62C4,2021-01-20 09:19:01.201141248,B,1,0,10,2855,0,N,N,N
RM,2732E8BA368E35C275789B013A3B81A2,2021-01-20 09:19:19.655807488,S,1,0,47,3090,0,N,N,N
