Record Indicator,Trade Time,Trade Price,Trade Quantity,Buy Order Number,Sell Order Number
PO,2021-01-20 09:07:58.420883200,16090,100,0516A5832929C19C247DD27C60D42705,63D8D1EF8C305E2AE464878D73E029D7
PO,2021-01-20 09:07:58.420898560,16090,25,0516A5832929C19C247DD27C60D42705,E99B798203FB6A7ABC903D6DA7FCF529
PO,2021-01-20 09:07:58.420913664,16090,10,0516A5832929C19C247DD27C60D42705,0CBD12BE818F058D8775DED05BDFB7B7
PO,2021-01-20 09:07:58.420929024,16090,30,0516A5832929C19C247DD27C60D42705,CABB61CF88B21F2CBDE296DB7A0B8917
PO,2021-01-20 09:07:58.420944128,16090,150,0516A5832929C19C247DD27C60D42705,255EDD1163457BD2DE907AE18909E691
PO,2021-01-20 09:07:58.420959488,16090,185,0516A5832929C19C247DD27C60D42705,2D29495F70B0EEC82681BBC5169EDA6C
RM,2021-01-20 09:15:32.793044992,15935,5,E2D6EF88D5C8B00EFDAE7644B1314FC8,74DDF2F07779CDB79E9E297FB45F6D58
RM,2021-01-20 09:15:35.257949952,15935,5,05A22729BD47A9625D82AB9B25C6D218,74DDF2F07779CDB79E9E297FB45F6D58
RM,2021-01-20 09:15:37.424285952,15940,1,1651C67306001EB63E0E654F918EB093,32B290FBF6BF088823AAA66433320016
RM,2021-01-20 09:15:48.120040960,15905,10,E43942315138CE9C5E972307FF1FB6B1,A96D5B224C3EE98FD6615AAF554206B2
RM,2021-01-20 09:15:48.120208640,15850,482,983209EFAC81C040ABE18EF65E115A23,A96D5B224C3EE98FD6615AAF554206B2
RM,2021-01-20 09:15:48.120254464,15850,8,BEBA7E591BE5D4FD82AD885C752D1275,A96D5B224C3EE98FD6615AAF554206B2
RM,2021-01-20 09:15:48.120666624,15960,10,FFBEA76756BE5B2C0D49C12DECA7CFF3,D528A4C3170CAF593A2B4720C22203AF
RM,2021-01-20 09:15:52.256195072,15950,1,3694124B248A6F3719AEAE0C0B28AA2E,D89D54544F3A85A09864A14B2D464404
RM,2021-01-20 09:15:52.256210432,15955,4,3694124B248A6F3719AEAE0C0B28AA2E,14044D4B657AA534B76E1378FBFCC28E
RM,2021-01-20 09:15:56.311492864,15885,10,EF22E1B0B5B43E6CB3FC64509EB435E4,D9C41BBBC898A9367380091456657B60
RM,2021-01-20 09:15:56.311508224,15880,1,BFDC90F0DFC2A7BE9A86D8CC5141304C,D9C41BBBC898A9367380091456657B60
RM,2021-01-20 09:15:56.311523328,15875,7,6A61DE2390771886EB29CE018154A98D,D9C41BBBC898A9367380091456657B60
RM,2021-01-20 09:15:56.311554048,15865,8,F690DFEE2763D4121A72AE7A3E2986E2,D9C41BBBC898A9367380091456657B60
RM,2021-01-20 09:15:56.311599616,15825,100,38FAB9954980788F95DD7B7B255945FC,D9C41BBBC898A9367380091456657B60
RM,2021-01-20 09:15:56.311706624,15820,370,984F0263E5A77C185E91E4962368A26F,D9C41BBBC898A9367380091456657B60
RM,2021-01-20 09:15:56.311752192,15820,4,F159F3BE572277D10336A9F0E0474FA4,D9C41BBBC898A9367380091456657B60
RM,2021-01-20 09:15:58.976120064,15950,5,AEA183CE29C2CBD28DAE0C3E55DE1667,C348DB941F7BD3F1E870ED1693062A74
RM,2021-01-20 09:16:01.080047616,15855,20,89254C56F873CA0120B9CFC9DE32DD27,FEB91182F1FE3FE7227F38018972AB7D
RM,2021-01-20 09:16:01.080062976,15850,63,C50934CEEA11362F07E063143EC067C7,FEB91182F1FE3FE7227F38018972AB7D
RM,2021-01-20 09:16:01.080078080,15845,100,817C4E7A8F5690389D7785CBC66E6196,FEB91182F1FE3FE7227F38018972AB7D
RM,2021-01-20 09:16:02.863266048,15835,5,A23EDCCE90E295D3124F429B2716C3D4,F0FADAC7BE3CA363DABA4D9E732BBDF7
RM,2021-01-20 09:16:14.428222720,15820,30,EEEB1C294435482027ACFB03B1CD348A,79DCD24B3D605A62D1419030F926E1F6
RM,2021-01-20 09:16:24.799072256,15935,5,FCCAA2029CB6496EC02A1483383DB452,C348DB941F7BD3F1E870ED1693062A74
RM,2021-01-20 09:16:34.406158336,15875,20,AE3F27B59EAE840661B8C939EE6424FC,C348DB941F7BD3F1E870ED1693062A74
RM,2021-01-20 09:16:36.381469696,15855,10,222789BA1B7C09A9CD52751A645C5C00,EA08B4A77F2C9C2774C4512C96BED45A
RM,2021-01-20 09:16:36.381485056,15855,20,582EF75BAF96A5C52D9BC8E5FC5F388D,EA08B4A77F2C9C2774C4512C96BED45A
RM,2021-01-20 09:16:36.381622272,15820,463,4734D4A5A5FFBE9329ED34500CE412C1,EA08B4A77F2C9C2774C4512C96BED45A
